FRUIT YOGURT,105,4.86,18.6,0.909
FRUIT-FLAVORED DRK MIX,226,0.0,91.3,0.0
FUNGI,284,9.25,73.01,0.0
GARLIC,149,6.36,33.06,0.089
GEFILTEFISH,84,9.07,7.41,0.412
GIN,263,0.0,0.0,0.0
GINGER,347,9.12,70.79,1.94
GINGER ROOT,80,1.82,17.77,0.203
GINKGO NUTS,348,10.35,72.45,0.381
GOOSE,371,28.97,6.32,9.78
GOOSEBERRIES,73,0.88,18.75,0.038
GOURD,56,1.2,14.34,0.027
GRAPE DRINK,61,0.0,15.75,0.0
GRAPE JUC,60,0.37,14.77,0.025
GRAPE JUC COCKTAIL,179,0.65,44.37,0.103
GRAPE JUICE DRINK,57,0.0,14.55,0.0
GRAPE LEAVES,93,5.6,17.31,0.336
GRAPEFRUIT,60,0.88,15.44,0.021
GRAPEFRUIT JUC,146,1.97,34.56,0.064
GRAPEFRUIT JUICE,39,0.5,9.2,0.014
GRAPES,76,0.72,19.65,0.114
GRAVY,409,13.0,67.64,5.866
GROUNDCHERRIES,53,1.9,11.2,0.0
GROUPER,118,24.84,0.0,0.299
GRY,39,1.09,6.24,0.4
GUANABANA NECTAR,59,0.11,14.93,0.029
GUAVA NECTAR,57,0.09,14.87,0.0
GUAVA SAUCE,36,0.32,9.48,0.04
GUAVAS,69,2.55,17.36,0.272
GUINEA HEN,158,23.4,0.0,1.77
HADDOCK,116,25.23,0.0,0.173
HALIBUT,239,26.69,0.0,3.102
HAM,263,18.85,4.2,7.18
HAZELNUTS OR FILBERTS,646,15.03,17.6,4.669
HEADCHEESE,157,13.83,0.0,3.402
HEARTS OF PALM,28,2.52,4.62,0.13
HERRING,262,24.58,9.64,4.174
HICKORYNUTS,657,12.72,18.25,7.038
HONEY ROLL SAUSAGE,182,18.58,2.18,4.08
HORMEL,106,18.43,0.21,1.17
HORMEL ALWAYS TENDER,167,19.02,4.63,3.6
HORMEL SPAM,191,15.23,1.35,4.49
HORSERADISH,48,1.18,11.29,0.09
HORSERADISH-TREE,60,5.27,11.15,0.152
HORSERADISH-TREE LEAFY TIPS,64,9.4,8.28,0.0
HUMMUS,177,7.9,20.12,1.437
HYACINTH BNS,344,23.9,60.76,0.288
HYACINTH-BEANS,50,2.95,9.2,0.119
INF FO,510,12.5,53.0,11.37
INF FOR,521,13.9,57.0,11.9
INF FOR NUTR,129,2.73,13.78,4.522
INF FORM,524,14.42,56.2,18.305
INF FORMMEAD JOHN,65,1.38,7.18,1.453
INF FORMU,480,15.6,57.1,8.905
INF FORMULA,524,15.6,62.23,12.761
Infa for,67,1.8,6.77,1.838
INFANT FORMULA,519,14.0,56.2,16.8
JACKFRUIT,94,1.47,24.01,0.063
JAVA-PLUM,60,0.72,15.56,0.0
JELLIES,179,0.3,46.1,0.009
JERUSALEM-ARTICHOKES,73,2.0,17.44,0.0
JEW'S EAR,25,0.48,6.75,0.0
JUICE,52,0.17,12.96,0.0
JUJUBE,287,3.7,73.6,0.0
JUTE,37,4.65,7.29,0.038
KALE,50,3.3,10.01,0.091
KANPYO,258,8.58,65.04,0.045
KIELBASA,309,13.1,3.9,9.233
KIWI FRUIT,61,1.14,14.66,0.029
KIWIFRUIT,61,0.99,14.88,0.0
KOHLRABI,29,1.8,6.69,0.014
KUMQUATS,71,1.88,15.9,0.103
LAMB,665,35.54,0.0,32.24
LAMBS QUARTERS,32,3.2,5.0,0.052
LAMBSQUARTERS,43,4.2,7.3,0.059
LEEKS,321,15.2,74.65,0.279
LEMON GRASS (CITRONELLA),99,1.82,25.31,0.119
LEMON JUC,22,0.46,6.5,0.043
LEMON JUICE,25,0.38,8.63,0.0
LEMON PEEL,47,1.5,16.0,0.039
LEMONADE,389,3.6,94.44,0.039
LEMONADE-FLAVOR DRK,389,0.1,94.44,0.003
LEMONS,29,1.2,10.7,0.039
LENTILS,353,25.8,60.08,0.379
LETTUCE,17,1.36,3.29,0.039
LIMA BNS,338,21.46,63.38,0.219
LIME JUC,21,0.25,6.69,0.026
LIME JUICE,25,0.42,8.42,0.008
LIMEADE,247,0.0,62.32,0.0
LIMES,30,0.7,10.54,0.022
LING,111,24.35,0.0,0.12
LINGCOD,109,22.64,0.0,0.255
LITCHIS,277,3.8,70.7,0.27
LIVER CHEESE,304,15.2,2.1,8.96
LIVER SAUSAGE,326,14.1,2.2,10.6
LOBSTER,98,20.5,1.28,0.18
LOGANBERRIES,55,1.52,13.02,0.011
LOMA LINDA DINNER CUTS,104,19.46,4.15,0.2
LOMA LINDA FRIED CHIK'N W/ GRAVY,181,13.15,5.2,1.84
LOMA LINDA LINKETTS,208,21.29,4.35,1.57
LOMA LINDA LITTLE LINKS,221,19.38,5.53,2.0
LOMA LINDA LOFAT BIG FRANKS,154,23.1,4.9,0.5
LOMA LINDA REDI-BURGER,149,21.89,8.15,0.44
LOMA LINDA SWISS STAKE W/ GRAVY,141,10.17,10.37,0.83
LOMA LINDA TENDER BITS,135,15.12,8.29,0.7
LOMA LINDA TENDER ROUNDS W/ GRAVY,145,16.26,7.4,0.7
LOMA LINDA VEGE-BURGER,115,22.22,3.72,0.23
LONGANS,286,4.9,74.0,0.0
LOQUATS,47,0.43,12.14,0.04
LOTUS ROOT,74,2.6,17.23,0.03
LOTUS SEEDS,332,15.41,64.47,0.33
LOUIS RICH,276,19.7,15.4,5.19
LUNCHEON MEAT,353,17.94,4.6,11.59
LUNCHEON SAUSAGE,260,15.38,1.58,7.62
LUPINS,371,36.17,40.38,1.156
LUXURY LOAF,141,18.4,4.9,1.58
MACADAMIA NUTS,718,7.91,13.82,12.061
MACE,475,6.71,50.5,9.51
MACKEREL,305,26.0,0.0,7.148
MALABAR SPINACH,23,2.98,2.71,0.0
MALTED DRK MIX,428,14.29,86.94,4.762
MAMMY-APPLE,51,0.5,12.5,0.136
MANGO NECTAR,51,0.11,13.12,0.014
MANGOS,65,0.51,17.0,0.066
MANGOSTEEN,73,0.41,17.91,0.0
MARASCHINO CHERRIES,165,0.22,41.97,0.039
MARGARINE,730,1.9,1.53,20.442
MARGARINE SPRD,424,0.2,4.34,8.792
MARGARINE-BUTTER BLEND,714,0.31,0.77,14.198
MARGARINE-LIKE SHORTENING,628,0.0,0.0,22.869
MARGARINE-LIKE SPRD,630,2.0,7.1,19.51
MARJORAM,271,12.66,60.56,0.529
MAYONNAISE DRSNG,688,0.0,0.3,10.784
MEAT DRIPPINGS (LARD,889,0.0,0.0,44.79
MELON BALLS,33,0.84,7.94,0.064
MELONS,36,1.11,9.09,0.051
MILK,56,3.95,5.49,1.232
MILK SHAKES,112,3.86,17.75,1.886
MILKFISH,190,26.32,0.0,1.66
MIXED NUTS,617,17.3,25.35,9.087
MIXED VEG & FRUIT JUC DRK,29,0.04,7.47,0.0
MONKFISH,97,18.56,0.0,0.34
MOR-NU,37,6.3,1.1,0.133
MORI-NU,62,7.4,2.9,0.406
MORNINGSTAR FARMS ASIAN VEGGIE PATTIES,155,10.9,14.9,0.8
MORNINGSTAR FARMS BRKFST PATTIE MADE W/ ORG SOY,205,22.1,10.6,1.1
MORNINGSTAR FARMS CHEDDAR BURGER,222,19.7,16.1,2.8
MORNINGSTAR FARMS CHIK PATTIES ORIGINAL,197,11.8,22.9,0.8
MORNINGSTAR FARMS CHIK'N NUGGETS,218,14.19,20.79,1.19
MORNINGSTAR FARMS GRILLERS ORIGINAL,213,23.9,8.5,1.7
MORNINGSTAR FARMS GRILLERS PRIME,238,24.0,5.9,1.6
MORNINGSTAR FARMS ITALIAN HERB CHIK PATTIES,236,13.6,31.1,0.8
MORNINGSTAR FARMS MEAL STARTERS CHIK'N STRIPS,164,26.8,6.7,0.6
MORNINGSTAR FARMS MEAL STARTERS STEAK STRIPS,173,26.1,9.0,0.6
MORNINGSTAR FARMS MEATFREE BUFFALO WINGS,230,14.5,23.3,1.2
MORNINGSTAR FARMS MEATLESS CORN DOGS,228,11.38,31.67,1.05
MORNINGSTAR FARMS MEATLESS MINI CORN DOGS,229,13.44,29.29,0.71
MORNINGSTAR FARMS MUSHROOM LOVER'S BURGER,169,11.6,11.8,1.3
MORNINGSTAR FARMS OKARA PATTIES MADE W/ ORG SOY,178,18.6,9.6,0.8
MORNINGSTAR FARMS ORIGINAL CHIK'N TENDERS,233,14.7,25.2,1.1
MORNINGSTAR FARMS PHILLY CHEESESTEAK BURGER,186,14.6,10.52,2.3
MORNINGSTAR FARMS RSTD HERB CHIK'N W/ ORG SOY,167,18.9,13.6,0.5
MORNINGSTAR FARMS SAUSAGE STYLE RECIPE CRUMBLES,164,17.8,13.7,0.6
MORNINGSTAR FARMS TOMATO & BASIL PIZZA BURGER,181,15.5,11.1,2.2
MORNINGSTAR FARMS VEGGIE BACON STRIPS,346,12.4,14.3,4.2
MORNINGSTAR FARMS VEGGIE BITES BROCCOLI CHEDDAR,209,9.9,17.4,2.8
MORNINGSTAR FARMS VEGGIE BITES COUNTRY SCRAMBLE,216,13.0,19.8,2.2
MORNINGSTAR FARMS VEGGIE BITES EGGS FLORENTINE,206,11.7,20.1,2.0
MORNINGSTAR FARMS VEGGIE BITES SPINACH ARTICHOKE,221,11.0,18.8,3.0
MORNINGSTAR FARMS VEGGIE CAKES GINGER TERIYAKI,163,8.2,27.9,0.4
MORNINGSTAR FARMS VEGGIE CAKES SOUTHWESTERN STYLE,197,9.5,30.8,1.7
MORNINGSTAR FARMS VEGGIE CORN DOGS W/ NAT INGR,231,11.6,30.9,1.1
MORNINGSTAR FARMS VEGGIE SAUSAGE LINKS,159,19.2,6.8,0.7
MORTADELLA,311,16.37,3.05,9.51
MOTHBEANS,343,22.94,61.52,0.364
MOTHER'S LOAF,282,12.07,7.53,7.95
MOUNTAIN YAM,82,1.73,20.0,0.022
MULBERRIES,43,1.44,9.8,0.027
MULLET,150,24.81,0.0,1.431
MUNG BNS,347,23.86,62.62,0.348
MUNGO BNS,341,25.21,58.99,0.114
MUSHROOM,43,3.31,6.47,0.02
MUSHROOMS,296,9.58,75.37,0.225
MUSSEL,172,23.8,7.39,0.85
MUSTARD,67,4.37,5.33,0.248
MUSTARD GREENS,26,2.7,4.9,0.01
MUSTARD GRNS,20,2.49,3.41,0.014
MUSTARD SEED,469,24.94,34.94,1.46
MUSTARD SPINACH,22,2.2,3.9,0.015
NECTARINES,44,1.06,10.55,0.025
NEW ENGLAND BRAND SAUSAGE,161,17.27,4.83,2.56
NEW ZEALAND SPINACH,14,1.5,2.5,0.032
NOODLES,351,0.16,86.09,0.017
NOPALES,16,1.35,3.33,0.016
NUTMEG,525,5.84,49.29,25.94
NUTS,673,18.22,53.21,15.472
OCEAN PERCH,121,23.88,0.0,0.313
OCTOPUS,164,29.82,4.4,0.453
OHELOBERRIES,28,0.38,6.84,0.0
OIL,884,0.26,20.69,93.701
OKRA,31,2.08,7.03,0.079
OLIVE LOAF,235,11.8,9.2,5.85
OLIVES,145,1.03,6.26,2.029
ONION RINGS,407,5.34,38.16,8.585
ONIONS,349,8.95,83.28,0.078
ORANGE BRKFST DRK,53,0.0,13.2,0.0
ORANGE DRK,153,0.4,39.0,0.002
ORANGE JUC,159,2.39,38.17,0.029
ORANGE JUICE,45,0.7,10.4,0.024
ORANGE PEEL,97,1.5,25.0,0.024
ORANGE&APRICOT JUC DRK,51,0.3,12.7,0.01
ORANGE-FLAVOR DRK,386,3.6,98.94,0.078
ORANGE-GRAPEFRUIT JUC,43,0.6,10.28,0.011
ORANGES,63,1.3,15.5,0.035
OSCAR MAYER,388,25.9,15.4,12.85
OSTRICH,175,29.37,0.0,2.177
OYSTER,197,18.9,11.62,3.197
PAPAYA NECTAR,57,0.17,14.51,0.047
PAPAYAS,39,0.61,9.81,0.043
PARMESAN CHS TOPPING,370,40.0,40.0,3.11
PARSLEY,276,31.3,51.66,0.132
PARSNIPS,75,1.32,17.99,0.05
PASSION-FRUIT,97,2.2,23.38,0.059
PASSION-FRUIT JUC,60,0.67,14.45,0.015
PASTRAMI,133,16.3,1.79,1.699
PATE,462,14.2,6.55,14.45
PATE DE FOIE GRAS,462,11.4,4.67,14.45
PEACH NECTAR,54,0.27,13.92,0.002
PEACHES,325,4.89,83.18,0.111
PEANUT BUTTER,593,26.06,35.65,10.51
PEANUT BUTTER W/ OMEGA-3,608,24.47,17.0,9.691
